ID,Overspeed,Highspeedbrake,Harshacceleration,Harshdeceleration,Kilo,Fuel,Brakes,Range,Speed,RPM,Accelerator pedal position,Engine fuel rate,ID,Date,Overspeed,Highspeedbrake,Harshacceleration,Harshdeceleration,Kilo,Fuel,Brakes,Range,Speed,RPM,Accelerator pedal position,Engine fuel rate
14807427897,0,0,284,261,1453.85,784.66,2179,0.549790278,24.78239124,1283.802275,27.32036728,13.4216611,10020443638,2018/7/5,0,0,3,3,78.31,19.93,110,0.477682237,16.42293423,753.860119,8.917857143,7.015029762
14807427919,0,0,99,109,739.1,403.78,1414.5,0.124713675,18.071678,1097.9056,23.95916824,13.27038043,10020443638,2018/7/6,0,0,40,30,553.08,139.59,1557,3.884983688,31.27763408,859.2912088,11.53498168,8.193406593
14807427932,0,8,82,76,2182.95,516.51,1716,6.838405146,42.79196106,1096.35803,23.83175074,11.90968101,10020443638,2018/7/7,0,0,4,1,131.5,37.36,156,1.227331837,15.18872642,735.9755245,6.620512821,5.488752914
14807427994,0,0,25,17,353.04,91.49,292,2.66473272,18.40944575,1034.797254,19.56219709,10.05278675,10020443638,2018/7/8,0,0,0,0,119.38,34.46,62,1.035245714,12.31482574,711.7704918,5.084153005,4.405245902
14807428018,0,0,11,19,525.79,116.21,377,3.435287408,21.06061568,1025.151108,15.42172996,7.329799578,10020443665,2018/7/3,10,19,152,155,479.12,199.19,845,0.903907627,31.26204301,888.1960298,17.42204892,10.24629564
14807428021,54,109,326,320,4140.43,1199.72,2513,8.662370944,55.1031815,1253.401943,36.1477212,17.20499033,10020443665,2018/7/4,0,9,143,149,444.46,199.23,1152,0.819015719,33.67397659,902.5252864,25.69640458,13.51536942
14807428026,0,0,7,12,229.74,102.05,455,0.301466233,10.49129663,854.3353105,17.19023029,9.408478716,10020443665,2018/7/5,0,1,62,46,263.24,114.08,573,0.824218425,21.28072666,830.9964158,13.17112135,8.047772657
14807428249,0,3,30,44,2737.93,928.7,1130,1.504101907,34.25695841,1030.291438,16.17133059,12.61680956,10020443665,2018/7/6,0,6,8,17,181.93,71.05,198,0.733820026,29.80793619,932.6656404,20.27980296,12.32697044
14807428262,0,0,75,66,361.38,114,570,1.129193975,21.65035199,1268.219797,23.915311,11.35675837,10020443665,2018/7/7,0,0,0,0,0,0,0,0.000429508,0,0,0,0
14807428285,0,0,148,126,1160.04,466.45,2783,2.560098847,25.08483563,1083.929103,18.87486707,12.51486175,10020443665,2018/7/8,14,12,135,113,410.45,190.25,1165,0.804161869,36.80678304,915.5375924,28.29552369,14.94356801
14807428326,0,1,22,24,1112.89,321.39,823,8.813680168,29.03145769,1080.574503,22.73766696,11.30541704,10020443668,2018/7/3,0,0,1,0,1.27,2.08,3,0.01228995,2.538711111,1527.0625,39.65,20.80833333
14807428418,0,0,94,76,790.99,350.22,1980,0.749703526,20.74721604,1044.345097,21.26037736,10.43529001,10020443668,2018/7/4,0,0,117,114,563.25,295.03,924,0.726667997,30.10958739,1008.716516,24.10271903,14.31320913
14807428467,0,3,56,50,391.72,108.13,754,0.422411073,17.98660436,903.6414009,19.42310507,9.191949817,10020443668,2018/7/5,0,0,82,71,375.41,202.98,630,0.691931475,24.40036585,902.5068611,21.04600858,12.3456242
